p1,Lp1,race_cat,year_cat
0.499949479640295,1,All,'13-'14
0.49984843892088515,1,All,'13-'14
0.4997473982014752,1,All,'13-'14
0.4996463574820653,1,All,'13-'14
0.49954531676265534,1,All,'13-'14
0.4994442760432455,1,All,'13-'14
0.4993432353238355,1,All,'13-'14
0.49924219460442554,1,All,'13-'14
0.4991411538850157,1,All,'13-'14
0.4990401131656057,1,All,'13-'14
0.49893907244619584,1,All,'13-'14
0.49883803172678587,1,All,'13-'14
0.498736991007376,1,All,'13-'14
0.49863595028796603,1,All,'13-'14
0.4985349095685562,1,All,'13-'14
0.4984338688491462,1,All,'13-'14
0.49833282812973634,1,All,'13-'14
0.49823178741032637,1,All,'13-'14
0.4981307466909164,1,All,'13-'14
0.49802970597150653,1,All,'13-'14
0.49792866525209656,1,All,'13-'14
0.4978276245326867,1,All,'13-'14
0.4977265838132767,1,All,'13-'14
0.49762554309386686,1,All,'13-'14
0.4975245023744569,1,All,'13-'14
0.49742346165504703,1,All,'13-'14
0.49732242093563706,1,All,'13-'14
0.4972213802162272,1,All,'13-'14
0.4971203394968172,1,All,'13-'14
0.49701929877740725,1,All,'13-'14
0.4969182580579974,1,All,'13-'14
0.4968172173385874,1,All,'13-'14
0.49671617661917755,1,All,'13-'14
0.4966151358997676,1,All,'13-'14
0.4965140951803577,1,All,'13-'14
0.49641305446094774,1,All,'13-'14
0.4963120137415379,1,All,'13-'14
0.4962109730221279,1,All,'13-'14
0.49610993230271805,1,All,'13-'14
0.4960088915833081,1,All,'13-'14
0.4959078508638981,1,All,'13-'14
0.49580681014448824,1,All,'13-'14
0.49570576942507827,1,All,'13-'14
0.4956047287056684,1,All,'13-'14
0.49550368798625843,1,All,'13-'14
0.4954026472668486,1,All,'13-'14
0.4953016065474386,1,All,'13-'14
0.49520056582802874,1,All,'13-'14
0.49509952510861877,1,All,'13-'14
0.4949984843892089,1,All,'13-'14
0.49489744366979893,1,All,'13-'14
0.49479640295038896,1,All,'13-'14
0.4946953622309791,1,All,'13-'14
